,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2018 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,," 1,583,617 "," 1,462,678 "," 164,683 "," 5,459,450 "," 2,177,562 "," 1,554,073 "," 196,804 "," 5,834,172 "," 1,997,661 "," 1,912,661 "," 202,324 "," 5,682,330 "," 1,769,011 "," 1,607,030 "," 201,547 "," 5,572,339 "," 7,527,851 "," 6,536,442 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-129F,Fiancée Petitions," 11,460 "," 5,708 "," 1,991 "," 28,587 "," 12,321 "," 10,402 "," 2,557 "," 28,224 "," 12,702 "," 9,053 "," 2,157 "," 30,353 "," 11,012 "," 9,739 "," 2,747 "," 29,814 "," 47,495 "," 34,902 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-130,Immediate and Preference Relatives," 199,214 "," 134,532 "," 11,754 "," 1,348,724 "," 214,062 "," 163,866 "," 12,789 "," 1,394,669 "," 227,064 "," 140,173 "," 13,557 "," 1,471,125 "," 195,632 "," 141,856 "," 14,768 "," 1,520,249 "," 835,972 "," 580,427 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Family-Based Adjustments," 85,009 "," 63,872 "," 7,797 "," 335,762 "," 78,938 "," 68,869 "," 10,410 "," 344,655 "," 90,204 "," 57,272 "," 10,192 "," 371,976 "," 80,031 "," 71,980 "," 11,437 "," 372,185 "," 334,182 "," 261,993 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-600/600A,Orphan Petitions, 587 , 471 , 65 , 521 , 572 , 530 , 80 , 427 , 595 , 496 , 71 , 398 , 530 , 484 , 52 , 364 ," 2,284 "," 1,981 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-601A,Provisional Waivers," 15,166 "," 15,843 ", 725 ," 21,464 "," 14,399 "," 10,625 ", 638 ," 22,367 "," 15,985 "," 5,738 ", 409 ," 33,728 "," 15,198 "," 9,374 ", 543 ," 39,095 "," 60,748 "," 41,580 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
