Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q2),,,,,,,,,
,,,, Employment Based Preference Category ,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total 
"BAHAMAS, THE", -   , -   ,2,2,4,7,2, -   ,17
BULGARIA,3,1,1,3,5,1,1,2,17
LIBYA,1,1, -   ,4,9,1,1, -   ,17
ALGERIA,1,2,5,1,3, -   ,1,3,16
SUDAN, -   ,1,1,4,8, -   ,1, -   ,15
TAJIKISTAN,5, -   , -   ,1,5, -   ,1,3,15
HAITI,1, -   ,1,2, -   ,8,1,2,15
TANZANIA,1, -   , -   ,2,5,2,4, -   ,14
BOSNIA AND HERZEGOVINA, -   ,1,2,3,1,2,3,2,14
SERBIA AND MONTENEGRO,1, -   , -   ,6,1,2,3,1,14
TURKMENISTAN,3,1, -   , -   ,3, -   ,1,6,14
URUGUAY,2, -   ,2,1,5,2,1,1,14
AZERBAIJAN,7, -   , -   ,1,3,2, -   , -   ,13
ZAMBIA, -   , -   , -   ,1,1,7, -   ,4,13
SERBIA,2, -   , -   , -   ,3,4,2,1,12
CROATIA,2,1,1,3,3,1, -   ,1,12
AFGHANISTAN,2, -   , -   ,1,2,2,2,1,10
BAHRAIN, -   , -   , -   ,2,2,3,3, -   ,10
PANAMA,1, -   , -   , -   ,6, -   ,1,2,10
LITHUANIA, -   , -   ,4,2,1,1,1,1,10
CZECHIA,2,1,2, -   ,3,1,1, -   ,10
SAINT LUCIA, -   , -   , -   , -   , -   ,8,1, -   ,9
FINLAND, -   , -   ,2,3,4, -   , -   , -   ,9
RWANDA, -   , -   , -   ,2,3,2,2, -   ,9
MOLDOVA,1, -   , -   ,1,2,2,1,2,9
DOMINICA, -   ,1,1,1, -   ,2,1,2,8
OMAN, -   , -   , -   ,3,2, -   ,3, -   ,8
GUYANA, -   , -   , -   , -   , -   ,7,1, -   ,8
NORWAY,1,1,3, -   ,2,1, -   , -   ,8
CZECHOSLOVAKIA, -   , -   ,3,1,1,1,1, -   ,7
CONGO (KINSHASA),1, -   , -   , -   ,5,1, -   , -   ,7
LATVIA,1, -   ,3,1, -   ,2, -   , -   ,7
PARAGUAY, -   , -   , -   ,1,3, -   ,2,1,7
BURMA, -   , -   , -   ,1,2,1,2,1,7
ANGOLA, -   , -   ,1,1,3,1, -   , -   ,6
QATAR, -   , -   ,1,2,1,1,1, -   ,6
FRENCH POLYNESIA, -   , -   , -   ,1, -   ,3,2, -   ,6
BARBADOS,1, -   , -   ,2,1,2, -   , -   ,6
"GAMBIA, THE", -   , -   , -   ,1,2,2, -   ,1,6
YEMEN,1, -   , -   , -   ,2, -   ,2,1,6
NICARAGUA,1, -   ,2, -   ,1,1, -   ,1,6
CONGO (BRAZZAVILLE), -   ,1, -   , -   , -   ,2, -   ,2,5
MACAU, -   , -   , -   ,1,2, -   ,2, -   ,5
MALAWI, -   ,1, -   , -   ,1,3, -   , -   ,5
CÔTE D'IVOIRE,1, -   , -   ,2,2, -   , -   , -   ,5
"PALESTINE, STATE OF", -   , -   , -   ,1, -   ,3, -   ,1,5
BELIZE, -   , -   , -   , -   , -   ,2,2,1,5
GABON, -   , -   , -   , -   ,3, -   ,1, -   ,4
TOGO,1, -   ,1,1,1, -   , -   , -   ,4
KOSOVO, -   , -   ,1, -   ,1, -   , -   ,2,4
SENEGAL, -   , -   ,2,1,1, -   , -   , -   ,4
CYPRUS, -   ,2, -   , -   ,2, -   , -   , -   ,4
FIJI,2, -   , -   , -   , -   , -   ,1, -   ,3
