Number of Service-wide Forms,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,
"April 1, 2023 - June 30, 2023",,,,,,,,,,,,
Category and Form Number,Description,3rd Quarter,4th Quarter,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Fiscal Year - To Date,Fiscal Year - To Date,Fiscal Year - To Date,Fiscal Year - To Date,Fiscal Year - To Date
,,Forms Received1,Approved2,Denied3,Total Completions4,Pending5,Processing Time6,Forms Received,Approved,Denied,Total Completions,Pending
N-336,Req. for a Hearing on a Decision in Natz. Proceedings (Under Sect. 336 of the INA),"1,532",847,651,"1,498","4,676", N/A ,"4,480","1,561","1,451","3,012","4,676"
N-40020,Application for Naturalization (Military),"4,004","3,161",345,"3,506","7,127",5.8,"10,221","8,197","1,006","9,203","7,127"
N-40020,Application for Naturalization,"201,615","188,607","22,562","211,169","433,486",5.8,"600,009","635,034","76,567","711,601","433,486"
N-470,Application to Preserve Residence for Naturalization Purposes, -   , -   , -   , -   , D , N/A , -   , -   , -   , -   , D 
N-565,Application for Replacement Naturalization/Citizenship Document,"7,652","12,318",995,"13,313","15,606",5.2,"22,884","36,581","2,791","39,372","15,606"
N-60021,Application for Certificate of Citizenship,"16,751","22,847","2,260","25,107","63,872",7.3,"53,003","48,089","4,756","52,845","63,872"
N-644,Application for Posthumous Citizenship, -   , -   , -   , -   , -   , N/A , -   , -   , -   , -   , -   
N-648,Medical Certification for Disability Exceptions,"17,485", N/A , N/A ,"17,906","1,394", N/A ,"56,324", N/A , N/A ,"58,139","1,394"
Other,,,,,,,,,,,,
I-90,Application to Replace Permanent Resident Card,"156,170","129,855","1,336","131,191","564,892",0.9,"450,329","907,912","10,213","918,125","564,892"
I-102,Application for Replacement/Initial Nonimmigrant Arrival-Departure Document,946,847,339,"1,186","2,577",4.2,"2,720","2,689","1,096","3,785","2,577"
I-131,Application for Travel Document,"18,789","14,012","2,287","16,299","87,636",16.4,"53,380","37,792","7,257","45,049","87,636"
I-131,Application for Travel Document (Advance Parole),"140,556","77,129","71,712","148,841","394,051",5.6,"397,103","214,559","152,590","367,149","394,051"
I-131,Application for Travel Document (Parole-in-Place),"6,160","2,863",421,"3,284","6,892",5.8,"17,644","7,211","1,006","8,217","6,892"
I-13122,Application for Travel Document (Humanitarian Parole),"2,297","1,266","1,120","2,635","44,524", N/A ,"8,054","3,265","2,696","6,518","44,524"
I-193,Application for Waiver of Passport and/or Visa, D , D , D ,13,340,80.1,18,32,18,50,340
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","29,485","3,098","1,453","4,551","113,809",6.2,"75,160","12,769","4,992","17,761","113,809"
I-539,Application To Extend/Change Nonimmigrant Status,"62,971","95,949","22,847","118,796","66,206",6.1,"178,991","264,364","78,332","342,696","66,206"
I-824,Application for Action on an Approved Application or Petition,"11,005","5,768",417,"6,185","25,949",3,"28,162","13,527","1,295","14,822","25,949"
Waivers23,Waivers,"23,884","9,002","2,728","11,730","295,326",11.7,"68,742","32,166","8,468","40,634","295,326"
I-290B,Notice of Appeal or Motion,"26,987","12,678","12,142","24,820","158,919",3.6,"185,681","96,481","86,531","183,012","158,919"
Supplemental Processing,,,,,,,,,,,,
DS-230 (IV)24,Immigrant Visas,"139,254", N/A , N/A ,"152,093","60,040", N/A ,"398,899", N/A , N/A ,"427,235","60,040"
EOIR Adjustment24,EOIR Adjustment,"5,941", N/A , N/A ,"5,941","29,591", N/A ,"16,897", N/A , N/A ,"16,897","29,591"
Table Key:,,,,,,,,,,,,
N/A  Not available,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,
H Replaces the value from which one could deduce the value of D,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,
References:,,,,,,,,,,,,
1 Forms Received are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,
2 The number of applications or petitions approved during the reporting period.,,,,,,,,,,,,
3 The number of applications or petitions that were denied during the reporting period. Outcomes included in this count will vary by benefit type as not all benefit types have all of these outcomes in every reporting period.  ,,,,,,,,,,,,
"4 Total Completions on the 'Total - All Forms' line are approvals plus denials with three exceptions: N-648 does not break down Approvals and Denials, only Completions; and I-589 and I-131 (Humanitarian Parole) include administratively closed cases in Completions, which are not reported under the Approvals or Denials. ",,,,,,,,,,,,
5 The number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,
"6 Processing times are defined as the number of months it took for an application, petition, or request to be processed from receipt to completion in a given time period. The number of months presented is the median which is the time it took to complete 50% of all the cases processed in the quarter.",,,,,,,,,,,,
"7 Includes I-600A, Application for Advance Processing of an Orphan Petition.",,,,,,,,,,,,
"8 Includes I-800A, Application for Determination of Suitability to Adopt a Child from a Convention Country.",,,,,,,,,,,,
9 This refers to all I-526 form editions that predate Edition 06/01/22.,,,,,,,,,,,,
10 Form I-924 and I-924A have been decommissioned. Applicants now use Form I-956 to request or amend USCIS designation as a regional center and Form I-956F to request Approval of an Investment in a Commercial Enterprise. Applicants now use Form I-956G to submit the regional center’s,,,,,,,,,,,,
    annual statement. I-924 approvals may continue to include certain regional center reaffirmations and I-924 denials may continue to include certain regional center terminations. ,,,,,,,,,,,,
11 I-956 approvals may  include certain regional center reaffirmations and I-956 denials may include certain regional center terminations.,,,,,,,,,,,,
"12 Data are for affirmatively filed I-589 asylum applications and do not include defensive asylum claims before a DOJ EOIR immigration court. For affirmative I-589s, the “denial” column includes cases where USCIS found the applicant not eligible on the merits of the claim and referred the applicant to",,,,,,,,,,,,
    an immigration judge. Previous reports did not include referrals in the denied counts. Administratively closed cases are not included in approvals or denials but are included in the total number of completions.,,,,,,,,,,,,
"13 Includes the following applications for persons applying for benefits under the Immigration Reform and Control Act of 1986:  Forms I-687, I-700. I-698, I-690, I-694, and I-695.",,,,,,,,,,,,
"14 Credible fear cases approved indicate fear established. Credible fear cases denied indicate fear not established.  Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
15 NACARA cases approved indicate a grant of suspension of deportation or special rule cancellation of removal and adjustment of status. Denied indicates USCIS found the applicant not eligible on the merits of the claim and referred the applicant to an immigration judge. ,,,,,,,,,,,,
"    Administratively closed and dismissed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
"16 Reasonable fear cases approved indicate fear established. Reasonable fear cases denied indicate fear not established. Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
"17 Includes I-914A, Application for Family Member of T-1 Recipient.",,,,,,,,,,,,
"18 Includes I-918A, Petition for Qualifying Family Member of U-1 Recipient. Processing times shown are from initial filing to Bona Fide Determination (BFD) Review.",,,,,,,,,,,,
"19 Starting in Fiscal Year 2023, special immigrants adjusting status in the 4th employment-based preference category are included in “Employment” unlike previous reporting periods.",,,,,,,,,,,,
20 Processing Times shown are for all N-400 Applications for Naturalization.,,,,,,,,,,,,
"21 Includes N-600K, Application for Citizenship and Issuance of Certificate Under Section 322. ",,,,,,,,,,,,
22 This report reflects data for requests filed for individuals outside of the United States requesting parole into the United States based on urgent humanitarian or significant public benefit reasons and individuals inside the United States requesting re-parole.,,,,,,,,,,,,
"23 Includes the following applications filed to waive exclusionary grounds:  Forms I-191, I-192, I-212, I-601, I-602, and I-612.",,,,,,,,,,,,
"24 Immigrant Visa and EOIR Adjustment are not included in the ""Total - All Forms"" line. ",,,,,,,,,,,,
Notes:,,,,,,,,,,,,
"1) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,
"3) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,,,,,,
"4) Completed are the number of applications or petitions approved or denied. Some benefit types include other outcomes, such as administrative closures, in the total number of completed cases. As such, approvals and denials will not sum to the total number of completions for all benefit types.",,,,,,,,,,,,
5) Forms where a processing time is unavailable are shown with an N/A. Processing times may be unavailable for a variety of reasons such as forms pending a processing times calculation or forms where times cannot be calculated. ,,,,,,,,,,,,
6) Summing the six I-485 types and the four I-765 types results in the overall totals for each form for the reporting period. ,,,,,,,,,,,,
"7) Credible Fear and Reasonable Fear screenings (and their respective forms I-870 and I-899) do not confer an immigration benefit, rather they are intended to identify individuals with viable protection claims, which are then referred to the Immigration Courts for adjudication. ",,,,,,,,,,,,
   Asylum Officers do not adjudicate the actual asylum applications during the screening process.,,,,,,,,,,,,
"8) For the I-131 (humanitarian parole), approvals are defined as conditional approval of the request for parole contingent upon successful completion of identity verification and any additional medical and security checks as required. ",,,,,,,,,,,,
"    A request for humanitarian parole may be counted as closed for a number of reasons, including if the beneficiary withdraws the request or if USCIS has notified the petitioner that the case is eligible for further parole processing and is awaiting notification from the petitioner that the parole ",,,,,,,,,,,,
    beneficiary is in a location with a U.S. embassy or consulate.,,,,,,,,,,,,
9) The majority of the I-730 completions are captured in CLAIMS3 and included in this data. The I-730 processing times are based on completions made at the Texas and Nebraska Service Centers only.,,,,,,,,,,,,
"10) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,
Source:,,,,,,,,,,,,
"All data except I-589, I-870, I-899 and I-881 - Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,
"I-589, I-870, I-899, I-881, I-131 (Humanitarian Parole) data were provided by the Refugee, Asylum and International Operations (RAIO) Directorate",,,,,,,,,,,,
"PRT, ELIS, CLAIMS3, queried 8/2023, TRK #12292",,,,,,,,,,,,
