,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Service-wide Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4th Quarter,,,,,                Fiscal Year - To Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forms ,,Completed,,,Processing ,Forms Received,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form Number,Description,Received 1,Approved 2,Denied 3,Total 4,Pending 5,Time 6,,Approved,Denied,Total,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,," 2,200,024 "," 1,939,071 "," 345,272 "," 2,311,183 "," 8,686,971 ", N/A ," 8,629,636 "," 6,883,950 "," 1,174,863 "," 8,143,283 "," 8,686,971 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-730,Refugee/Asylee Relative Petition," 3,857 "," 3,971 "," 1,004 "," 4,975 "," 22,707 ", 30.4 ," 11,613 "," 9,585 "," 1,521 "," 11,106 "," 22,707 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-817,Application for Family Unity Benefits, 90 , 40 , 17 , 57 , 342 , 9.8 , 335 , 40 , 17 , 57 , 342 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-821,Application for Temporary Protected Status," 87,072 "," 89,156 "," 1,086 "," 90,242 "," 247,356 ", 12.3 ," 177,589 "," 215,660 "," 2,280 "," 217,940 "," 247,356 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-821D,Consideration of Deferred Action for Childhood Arrivals ," 74,613 "," 58,957 ", 575 ," 59,532 "," 118,548 ", 0.7 ," 304,411 "," 295,480 "," 2,570 "," 298,050 "," 118,548 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-870 12,Record of Determination/Credible Fear Worksheet ," 20,399 "," 9,153 "," 7,158 "," 17,543 "," 4,421 ", N/A ," 68,335 "," 31,571 "," 18,742 "," 54,097 "," 4,421 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-881 13,App. for Susp. of Deport. or Spec. Rule Cancel. of Removal (Sect. 203 of Public Law 105-100 (NACARA)), 50 , 54 , D , 69 , 476 , N/A , 206 , 167 , 19 , 204 , 476 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-899 14,Record of Determination/Reasonable Fear Worksheet ," 2,138 ", 578 , 843 ," 1,768 ", 304 , N/A ," 6,930 "," 1,873 "," 3,052 "," 6,092 ", 304 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-914 15,Application for T Nonimmigrant Status," 1,409 ", 824 , 133 , 957 ," 5,698 ", 11.7 ," 4,935 "," 3,034 ", 636 ," 3,670 "," 5,698 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-918 16,Petition for U Nonimmigrant Status," 13,028 ", 514 ," 1,463 "," 1,977 "," 314,834 ", 58.0 ," 50,342 "," 17,554 "," 6,034 "," 23,588 "," 314,834 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-929,Petition for Qualifying Family Member of a U-1 Nonimmigrant, 240 , 50 , 10 , 60 ," 1,892 ", 22.9 ," 1,000 ", 479 , 107 , 586 ," 1,892 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
