Number of Service-wide Forms,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,
"October 1, 2022 - December 31, 2022",,,,,,,,,,,,
,,,,1st Quarter,,,,,                Fiscal Year - To Date,,,
,,Forms ,,Completed,,,Processing ,Forms ,,Completed,,
Category and Form Number,Description,Received 1,Approved 2,Denied 3,Total 4,Pending 5,Time 6,Received,Approved,Denied,Total,Pending
N-648,Medical Certification for Disability Exceptions,"20,784", N/A , N/A ,"21,575","1,563", N/A ,"20,784", N/A , N/A ,"21,575","1,563"
Other,,,,,,,, -   , -   , -   ,,
I-90,Application to Replace Permanent Resident Card,"121,966","357,276","5,229","362,505","791,971",11.3,"121,966","357,276","5,229","362,505","791,971"
I-102,Application for Replacement/Initial Nonimmigrant Arrival-Departure Document,840,979,360,"1,339","3,181",5,840,979,360,"1,339","3,181"
I-131,Application for Travel Document,"15,317","10,287","2,627","12,914","84,568",14.7,"15,317","10,287","2,627","12,914","84,568"
I-131,Application for Travel Document (Advance Parole),"119,143","69,746","43,521","113,267","371,260",5.5,"119,143","69,746","43,521","113,267","371,260"
I-131,Application for Travel Document (Parole-in-Place),"5,501","2,006",253,"2,259","6,593",5.2,"5,501","2,006",253,"2,259","6,593"
I-131 21,Application for Travel Document (Humanitarian Parole) ,"3,185",935,647,"1,600","44,206", N/A ,"3,185",935,647,"1,600","44,206"
I-193,Application for Waiver of Passport and/or Visa , D ,15, D ,19,380,68.1, D ,15, D ,19,380
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant ","20,257","5,091","1,863","6,954","94,854",8,"20,257","5,091","1,863","6,954","94,854"
I-539,Application To Extend/Change Nonimmigrant Status,"59,208","68,299","29,879","98,178","186,964",5.9,"59,208","68,299","29,879","98,178","186,964"
I-824,Application for Action on an Approved Application or Petition ,"7,555","3,919",405,"4,324","15,863",3.4,"7,555","3,919",405,"4,324","15,863"
Waivers 22,Waivers,"21,791","12,893","2,346","15,239","273,574",12.8,"21,791","12,893","2,346","15,239","273,574"
I-290B,Notice of Appeal or Motion ,"18,257","8,253","7,397","15,650","163,074",13.3,"18,257","8,253","7,397","15,650","163,074"
Supplemental Processing,,,,,,,,,,,,
DS-230 (IV) 23,Immigrant Visas,"134,655", N/A , N/A ,"144,865","58,105", N/A ,"134,655", N/A , N/A ,"144,865","58,105"
EOIR Adjustment 23,EOIR Adjustment,"5,206", N/A , N/A ,"5,206","26,625", N/A ,"5,206", N/A , N/A ,"5,206","26,625"
Table Key:,,,,,,,,,,,,
N/A  Not available,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,
References:,,,,,,,,,,,,
1 Forms Received are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,
2 The number of applications or petitions approved during the reporting period.,,,,,,,,,,,,
3 The number of applications or petitions that were denied during the reporting period. Outcomes included in this count will vary by benefit type as not all benefit types have all of these outcomes in every reporting period.  ,,,,,,,,,,,,
"4 Total Completions on the 'Total - All Forms' line are approvals plus denials with three exceptions: N-648 does not break down Approvals and Denials, only Completions; and I-589 and I-131 (Humanitarian Parole) include administratively closed cases in Completions, which are not reported under the Approvals or Denials. ",,,,,,,,,,,,
5 The number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,
"6 Processing times are defined as the number of months it took for an application, petition, or request to be processed from receipt to completion in a given time period. The number of months presented is the median which is the time it took to complete 50% of all the cases processed in the quarter.",,,,,,,,,,,,
"7 Includes I-600A, Application for Advance Processing of an Orphan Petition.",,,,,,,,,,,,
"8 Includes I-800A, Application for Determination of Suitability to Adopt a Child from a Convention Country.",,,,,,,,,,,,
"9 Includes I-526E, Immigrant Petition by Regional Center Investor",,,,,,,,,,,,
"10 I-924 approvals include regional center reaffirmations and I-924 denials include regional center terminations. Statutory authorization related to the EB-5 Immigrant Investor Regional Center Program on June 30, 2021. Therefore, USCIS has suspended calculations of processing times for form I-924.",,,,,,,,,,,,
"11 Data are for affirmatively filed I-589 asylum applications and do not include defensive asylum claims before a DOJ EOIR immigration court. For affirmative I-589s, the “denial” column includes cases where USCIS found the applicant ",,,,,,,,,,,,
   not eligible on the merits of the claim and referred the applicant to an immigration judge. Previous reports did not include referrals in the denied counts. Administratively closed cases are not included in approvals or denials but are included in the total number of completions.,,,,,,,,,,,,
"12 Includes the following applications for persons applying for benefits under the Immigration Reform and Control Act of 1986:  Forms I-687, I-700. I-698, I-690, I-694, and I-695.",,,,,,,,,,,,
"13 Credible fear cases approved indicate fear established. Credible fear cases denied indicate fear not established.  Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
14 NACARA cases approved indicate a grant of suspension of deportation or special rule cancellation of removal and adjustment of status. Denied indicates USCIS found the applicant not eligible on the merits of the claim and referred the applicant to an immigration judge. ,,,,,,,,,,,,
"   Administratively closed and dismissed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
"15 Reasonable fear cases approved indicate fear established. Reasonable fear cases denied indicate fear not established. Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
"16 Includes I-914A, Application for Family Member of T-1 Recipient.",,,,,,,,,,,,
"17 Includes I-918A, Petition for Qualifying Family Member of U-1 Recipient. Processing times shown are from initial filing to Bona Fide Determination (BFD) Review.",,,,,,,,,,,,
"18 Starting in Fiscal Year 2023, special immigrants adjusting status in the 4th employment-based preference category are included in “Employment” unlike previous reporting periods.",,,,,,,,,,,,
19 Processing Times shown are for all N-400 Applications for Naturalization.,,,,,,,,,,,,
"20 Includes N-600K, Application for Citizenship and Issuance of Certificate Under Section 322. ",,,,,,,,,,,,
21 This report reflects data for requests filed for individuals outside of the United States requesting parole into the United States based on urgent humanitarian or significant public benefit reasons and individuals inside the United States requesting re-parole.,,,,,,,,,,,,
"22 Includes the following applications filed to waive exclusionary grounds:  Forms I-191, I-192, I-212, I-601, I-602, and I-612.",,,,,,,,,,,,
"23 Immigrant Visa and EOIR Adjustment are not included in the ""Total - All Forms"" line. ",,,,,,,,,,,,
Notes:,,,,,,,,,,,,
"1) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,
"3) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,,,,,,
"4) Completed are the number of applications or petitions approved or denied. Some benefit types include other outcomes, such as administrative closures, in the total number of completed cases. As such, approvals and denials will not sum to the total number of completions for all benefit types.",,,,,,,,,,,,
5) Forms where a processing time is unavailable are shown with an N/A. Processing times may be unavailable for a variety of reasons such as forms pending a processing times calculation or forms where times cannot be calculated. ,,,,,,,,,,,,
6) Summing the six I-485 types and the four I-765 types results in the overall totals for each form for the reporting period. ,,,,,,,,,,,,
"7) Credible Fear and Reasonable Fear screenings (and their respective forms I-870 and I-899) do not confer an immigration benefit, rather they are intended to identify individuals with viable protection claims, which are then referred to the Immigration Courts for adjudication. ",,,,,,,,,,,,
   Asylum Officers do not adjudicate the actual asylum applications during the screening process.,,,,,,,,,,,,
"8) For the I-131 (humanitarian parole), approvals are defined as conditional approval of the request for parole contingent upon successful completion of identity verification and any additional medical and security checks as required. ",,,,,,,,,,,,
"    A request for humanitarian parole may be counted as closed for a number of reasons, including if the beneficiary withdraws the request or if USCIS has notified the petitioner that the case is eligible for further parole processing and is awaiting notification from the petitioner that the parole ",,,,,,,,,,,,
    beneficiary is in a location with a U.S. embassy or consulate.,,,,,,,,,,,,
9) The majority of the I-730 completions are captured in CLAIMS3 and included in this data. The I-730 processing times are based on completions made at the Texas and Nebraska Service Centers only.,,,,,,,,,,,,
"10) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,
Source:,,,,,,,,,,,,
"All data except I-589, I-870, I-899 and I-881 - Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,
"I-589, I-870, I-899, I-881, I-131 (Humanitarian Parole) data were provided by the Refugee, Asylum and International Operations (RAIO) Directorate",,,,,,,,,,,,
"PRT, ELIS, CLAIMS3, queried 6/2023, TRK #11208",,,,,,,,,,,,
