Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q3),,,,,,,,,
Beneficiary Country of Birth,First Preference (EB1),,,Second Preference (EB2),,Third Preference (EB3),,,
,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3),Total
CZECHIA,2, - ,3,1,5, - ,2, - ,13
LATVIA,3, - ,3,1,5, - , - ,1,13
NORWAY,1, - ,2, - ,4,3,2, - ,12
YEMEN, - , - , - ,1,10, - , - ,1,12
NICARAGUA,2, - ,1,1,2,2,1,3,12
OMAN, - , - , - ,4,4,2,1, - ,11
NORTH MACEDONIA, - , - , - ,1,2,1,2,4,10
BOSNIA AND HERZEGOVINA,1,1,1,1,2, - ,2,2,10
CONGO (KINSHASA),1, - , - ,1,4,3,1, - ,10
PARAGUAY,1, - , - ,1,4,1,2,1,10
CÔTE D'IVOIRE, - , - , - ,2,3,1,4, - ,10
KOSOVO,1, - , - ,1,2,2, - ,4,10
AFGHANISTAN,1, - , - ,4,2,1,1, - ,9
SUDAN,1, - , - ,1,5, - ,1, - ,8
SAINT LUCIA, - , - , - ,1, - ,4,3, - ,8
GUYANA, - , - , - ,2,1,5, - , - ,8
FRENCH POLYNESIA,1, - ,2,3, - ,2, - , - ,8
"GAMBIA, THE",2, - , - , - ,1,3, - ,2,8
SENEGAL,1, - , - , - ,3,1,2, - ,7
MALAWI, - , - ,1, - ,1,3,1, - ,6
BELIZE, - , - , - , - ,1,4, - ,1,6
CUBA,1, - ,2, - ,3, - , - , - ,6
ESTONIA,1,1, - ,1,1,2, - , - ,6
SERBIA AND MONTENEGRO, - , - ,1,2, - ,1,1, - ,5
ANGOLA,1, - , - , - ,1,1,2, - ,5
BARBADOS, - , - , - , - ,1,2,2, - ,5
MACAU, - , - , - ,2,1,1,1, - ,5
BENIN, - , - ,1,2, - ,1,1, - ,5
SLOVENIA,1, - ,1,1,1, - ,1, - ,5
BAHRAIN, - , - , - ,3, - ,1, - , - ,4
DOMINICA, - , - , - , - ,1,2,1, - ,4
SIERRA LEONE, - , - ,1,1,2, - , - , - ,4
BURUNDI, - , - , - ,1,1, - ,2, - ,4
MAURITIUS, - , - , - ,1,2, - ,1, - ,4
BURKINA FASO, - , - , - ,2,1, - , - ,1,4
QATAR, - ,1, - , - , - ,2, - , - ,3
CONGO (BRAZZAVILLE), - , - , - ,1, - ,1, - ,1,3
"PALESTINE, STATE OF", - , - , - ,1, - , - ,2, - ,3
CYPRUS,1, - , - , - ,1, - ,1, - ,3
FIJI,1, - , - , - , - ,1, - ,1,3
NAMIBIA, - , - , - , - ,2,1, - , - ,3
BHUTAN, - , - , - , - , - ,2, - ,1,3
GRENADA, - , - , - ,1, - ,2, - , - ,3
ERITREA, - , - , - ,2,1, - , - , - ,3
MALTA, - , - ,1,2, - , - , - , - ,3
ANTIGUA AND BARBUDA, - , - , - , - ,1,2, - , - ,3
