,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,
Approvals by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q4),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,,,,,,,,,,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total," 5,623 "," 3,744 "," 8,351 "," 60,413 "," 10,316 "," 18,600 "," 24,028 "," 8,569 "," 139,644 ",,,,,,,,,
SRI LANKA, 7 , 3 , 14 , 49 , 84 , 44 , 44 , 14 , 259 ,,,,,,,,,
HONG KONG, 11 , 9 , 21 , 79 , 11 , 26 , 78 , 16 , 251 ,,,,,,,,,
CHILE, 19 , 10 , 20 , 69 , 35 , 15 , 60 , 7 , 235 ,,,,,,,,,
MALAYSIA, 8 , -   , 20 , 60 , 19 , 18 , 87 , 6 , 218 ,,,,,,,,,
ROMANIA, 8 , 8 , 26 , 51 , 11 , 28 , 36 , 24 , 192 ,,,,,,,,,
GREECE, 12 , 26 , 10 , 69 , 38 , 7 , 17 , 9 , 188 ,,,,,,,,,
NETHERLANDS, 15 , 12 , 55 , 41 , 20 , 21 , 16 , 1 , 181 ,,,,,,,,,
NIGER, 9 , -   , -   , 21 , 1 , 107 , 20 , 21 , 179 ,,,,,,,,,
ECUADOR, 19 , -   , 18 , 27 , 24 , 26 , 26 , 35 , 175 ,,,,,,,,,
EL SALVADOR, 1 , 1 , 9 , 19 , 7 , 23 , 18 , 93 , 171 ,,,,,,,,,
INDONESIA, 3 , 6 , 8 , 46 , 16 , 20 , 51 , 9 , 159 ,,,,,,,,,
SOVIET UNION, 53 , 4 , 9 , 31 , 33 , 12 , 5 , 5 , 152 ,,,,,,,,,
ETHIOPIA, 5 , 4 , 3 , 35 , 45 , 23 , 27 , 3 , 145 ,,,,,,,,,
BELARUS, 26 , 4 , 8 , 34 , 13 , 38 , 15 , 5 , 143 ,,,,,,,,,
UNITED ARAB EMIRATES, 1 , 1 , 8 , 52 , 10 , 23 , 38 , 7 , 140 ,,,,,,,,,
SINGAPORE, 4 , 4 , 12 , 48 , 11 , 14 , 45 , 1 , 139 ,,,,,,,,,
COSTA RICA, 5 , 1 , 33 , 40 , 4 , 15 , 27 , 6 , 131 ,,,,,,,,,
KAZAKHSTAN, 18 , 3 , 13 , 37 , 19 , 9 , 22 , 8 , 129 ,,,,,,,,,
GUATEMALA, 4 , -   , 8 , 15 , 6 , 12 , 17 , 65 , 127 ,,,,,,,,,
TRINIDAD AND TOBAGO, 4 , -   , 10 , 22 , 9 , 64 , 13 , 3 , 125 ,,,,,,,,,
MOROCCO, 6 , 3 , 5 , 34 , 10 , 4 , 14 , 46 , 122 ,,,,,,,,,
HUNGARY, 11 , 7 , 12 , 27 , 12 , 22 , 13 , 17 , 121 ,,,,,,,,,
HONDURAS, 1 , -   , 7 , 15 , 14 , 19 , 23 , 32 , 111 ,,,,,,,,,
BELGIUM, 14 , 5 , 33 , 18 , 10 , 16 , 12 , 2 , 110 ,,,,,,,,,
DOMINICAN REPUBLIC, 8 , -   , 13 , 27 , 22 , 10 , 15 , 13 , 108 ,,,,,,,,,
PORTUGAL, 6 , 5 , 21 , 28 , 14 , 14 , 7 , 5 , 100 ,,,,,,,,,
SWEDEN, 13 , 7 , 24 , 21 , 6 , 12 , 15 , -   , 98 ,,,,,,,,,
BULGARIA, 6 , 5 , 4 , 28 , 10 , 7 , 21 , 12 , 93 ,,,,,,,,,
MONGOLIA, 1 , -   , -   , 14 , 6 , 7 , 28 , 35 , 91 ,,,,,,,,,
SYRIA, 3 , 2 , 4 , 29 , 16 , 17 , 15 , 3 , 89 ,,,,,,,,,
ALBANIA, 4 , 1 , 3 , 7 , 4 , 10 , 19 , 39 , 87 ,,,,,,,,,
SWITZERLAND, 10 , 6 , 15 , 29 , 7 , 8 , 8 , 3 , 86 ,,,,,,,,,
NEW ZEALAND, 7 , 1 , 21 , 15 , 5 , 23 , 12 , 1 , 85 ,,,,,,,,,
ARMENIA, 20 , 1 , 4 , 19 , 11 , 7 , 15 , 6 , 83 ,,,,,,,,,
"BAHAMAS, THE", 2 , -   , 1 , 10 , 4 , 50 , 12 , -   , 79 ,,,,,,,,,
KUWAIT, 1 , 2 , 3 , 22 , 13 , 17 , 16 , 1 , 75 ,,,,,,,,,
UZBEKISTAN, 12 , 2 , -   , 19 , 3 , 9 , 13 , 17 , 75 ,,,,,,,,,
AUSTRIA, 8 , 8 , 20 , 13 , 9 , 7 , 5 , 2 , 72 ,,,,,,,,,
SERBIA, 2 , 1 , 11 , 11 , 12 , 8 , 11 , 16 , 72 ,,,,,,,,,
LIBYA, 2 , 1 , -   , 20 , 28 , 13 , 4 , 3 , 71 ,,,,,,,,,
UNKNOWN, 7 , -   , 4 , 20 , 9 , 10 , 8 , 12 , 70 ,,,,,,,,,
CAMEROON, 1 , 1 , 1 , 13 , 12 , 19 , 7 , 11 , 65 ,,,,,,,,,
DENMARK, 7 , 3 , 17 , 14 , 10 , 10 , 2 , -   , 63 ,,,,,,,,,
UGANDA, 2 , -   , -   , 12 , 17 , 24 , 6 , 1 , 62 ,,,,,,,,,
GEORGIA, 17 , -   , 3 , 8 , 4 , 5 , 4 , 18 , 59 ,,,,,,,,,
HAITI, 1 , 1 , 2 , 7 , 4 , 26 , 10 , 5 , 56 ,,,,,,,,,
URUGUAY, 3 , -   , 9 , 11 , 8 , 9 , 12 , 3 , 55 ,,,,,,,,,
BOLIVIA, 2 , -   , 5 , 13 , 12 , 2 , 10 , 10 , 54 ,,,,,,,,,
FINLAND, 7 , 2 , 13 , 14 , 2 , 9 , 3 , -   , 50 ,,,,,,,,,
IRAQ, -   , -   , 1 , 14 , 27 , 1 , 7 , -   , 50 ,,,,,,,,,
ZAMBIA, 1 , -   , 4 , 11 , 2 , 19 , 4 , 7 , 48 ,,,,,,,,,
CAMBODIA, -   , 1 , -   , 3 , -   , -   , 5 , 37 , 46 ,,,,,,,,,
FRENCH POLYNESIA, 9 , 5 , -   , 14 , -   , 11 , 5 , 1 , 45 ,,,,,,,,,
AZERBAIJAN, 4 , 1 , 2 , 13 , 10 , 2 , 8 , 3 , 43 ,,,,,,,,,
TUNISIA, 3 , 1 , 2 , 18 , 8 , 1 , 3 , 7 , 43 ,,,,,,,,,
CZECHIA, 3 , 1 , 10 , 9 , 5 , 7 , 4 , 3 , 42 ,,,,,,,,,
ALGERIA, 3 , 1 , 4 , 9 , 5 , 1 , 1 , 17 , 41 ,,,,,,,,,
LITHUANIA, 1 , 2 , 10 , 7 , 3 , 8 , 9 , 1 , 41 ,,,,,,,,,
PANAMA, 1 , 1 , 1 , 9 , 4 , 2 , 11 , 10 , 39 ,,,,,,,,,
CROATIA, 3 , 2 , 2 , 14 , 5 , 4 , 3 , 4 , 37 ,,,,,,,,,
SERBIA AND MONTENEGRO, 2 , 2 , -   , 7 , 2 , 7 , 12 , 4 , 36 ,,,,,,,,,
MOLDOVA, 4 , -   , 2 , 8 , 3 , 7 , 8 , 3 , 35 ,,,,,,,,,
NICARAGUA, -   , -   , 4 , 5 , 4 , 5 , 4 , 13 , 35 ,,,,,,,,,
GUYANA, -   , -   , -   , 9 , 1 , 14 , 4 , 6 , 34 ,,,,,,,,,
NORWAY, 3 , 2 , 4 , 8 , 6 , 3 , 8 , -   , 34 ,,,,,,,,,
NORTH MACEDONIA, 1 , 1 , -   , 5 , -   , 5 , 4 , 15 , 31 ,,,,,,,,,
SLOVAKIA, 4 , 2 , 3 , 7 , 4 , 3 , 6 , 2 , 31 ,,,,,,,,,
BURMA, 1 , -   , -   , 9 , 5 , 2 , 10 , 3 , 30 ,,,,,,,,,
TURKMENISTAN, 1 , -   , -   , 1 , 6 , 2 , 9 , 11 , 30 ,,,,,,,,,
TANZANIA, 2 , -   , 4 , 5 , 5 , 4 , 8 , 1 , 29 ,,,,,,,,,
BOSNIA AND HERZEGOVINA, -   , 2 , 2 , 7 , 3 , 3 , 8 , 3 , 28 ,,,,,,,,,
CZECHOSLOVAKIA, 4 , 1 , -   , 12 , 2 , 3 , 5 , 1 , 28 ,,,,,,,,,
KYRGYZSTAN, 3 , -   , -   , 2 , 8 , 2 , 5 , 7 , 27 ,,,,,,,,,
DOMINICA, 2 , 1 , -   , 5 , 1 , 12 , 5 , -   , 26 ,,,,,,,,,
OMAN, 1 , -   , -   , 13 , 4 , -   , 8 , -   , 26 ,,,,,,,,,
CÔTE D'IVOIRE, -   , -   , 1 , 11 , 4 , 4 , 3 , 2 , 25 ,,,,,,,,,
RWANDA, 1 , 1 , 1 , 5 , 4 , 6 , 5 , 1 , 24 ,,,,,,,,,
SAINT LUCIA, -   , -   , -   , 2 , 3 , 14 , 5 , -   , 24 ,,,,,,,,,
AFGHANISTAN, 5 , 1 , 1 , 6 , 3 , 3 , 1 , 3 , 23 ,,,,,,,,,
