,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Service-wide Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fiscal Year 2021, Quarter 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form Number,Description,4th Quarter,,,,,,Fiscal Year - To Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forms Received,Completed,,,Pending,Processing Time,Forms Received,Completed,,,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Approved,Denied,Total 15,,,,Approved,Denied,Total 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL FORMS,," 2,343,364 "," 1,905,587 "," 251,700 "," 2,176,453 "," 8,037,262 ", N/A ," 8,839,722 "," 6,138,783 "," 808,323 "," 7,010,652 "," 8,037,262 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawful Permanent Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Family)," 84,943 "," 67,653 "," 11,402 "," 79,055 "," 349,350 ", 11.7 ," 288,668 "," 266,080 "," 44,181 "," 310,261 "," 349,350 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Employment)," 45,897 "," 86,704 "," 2,225 "," 88,929 "," 245,490 ", 9.9 ," 292,080 "," 161,438 "," 7,155 "," 168,593 "," 245,490 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Asylum)," 8,020 "," 4,685 ", 231 ," 4,916 "," 87,997 ", 14.4 ," 44,837 "," 21,052 "," 1,043 "," 22,095 "," 87,997 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Refugee)," 3,527 ", 752 , 181 , 933 ," 24,983 ", 14.0 ," 22,906 "," 13,259 "," 1,438 "," 14,697 "," 24,983 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Cuban)," 2,161 "," 6,748 ", 668 ," 7,416 "," 14,819 ", 8.8 ," 17,082 "," 21,666 "," 2,231 "," 23,897 "," 14,819 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Other)," 11,898 "," 10,073 "," 1,845 "," 11,918 "," 47,747 ", 3.6 ," 46,724 "," 27,561 "," 5,641 "," 33,202 "," 47,747 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizenship and Nationality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-300,Application to File Declaration of Intention, -   , -   , -   , -   , -   , N/A , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-336,Req. for a Hearing on a Decision in Natz. Proceedings (Under Sect. 336 of the INA) ," 1,441 ", 877 , 564 ," 1,441 "," 4,049 ", N/A ," 4,596 "," 3,255 "," 1,974 "," 5,229 "," 4,049 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
