Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Approvals by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q2),,,,,,,,,
,,,, Employment Based Preference Category ,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total 
ZAMBIA, -   , -   ,1,1,2,8, -   ,6,18
HAITI, -   , -   , -   ,1,4,11, -   ,2,18
CROATIA,2,1,2,2,6,2, -   ,1,16
URUGUAY,2, -   ,6,2,2,1,2,1,16
SLOVAKIA,3,2,2,3,1, -   ,4, -   ,15
CZECHIA,2,1,5,2,2,1, -   ,2,15
YEMEN, -   , -   ,1,1,8, -   ,3,1,14
TANZANIA,1,1, -   ,2,3,3,4, -   ,14
MOLDOVA,2, -   ,1,2,4,3,1,1,14
PANAMA,2, -   ,2, -   ,6, -   ,1,2,13
TURKMENISTAN, -   ,1, -   , -   ,5, -   ,1,6,13
"BAHAMAS, THE", -   , -   ,1,3,1,6,2, -   ,13
TAJIKISTAN,1, -   , -   ,1,5, -   ,1,4,12
LITHUANIA, -   , -   ,3,1,4,1,2,1,12
SERBIA AND MONTENEGRO, -   , -   , -   ,6,1,2,2,1,12
SERBIA, -   , -   , -   , -   ,6,1,2,3,12
BAHRAIN,1,1,2,2, -   ,2,3, -   ,11
FINLAND, -   ,1,1,2,5,1,1, -   ,11
RWANDA, -   , -   , -   ,1,7,1,2, -   ,11
KYRGYZSTAN,4, -   , -   ,1,5,1, -   , -   ,11
OMAN, -   , -   ,1,3,3, -   ,2,1,10
BOSNIA AND HERZEGOVINA,1, -   ,1, -   ,2,2,2,2,10
AZERBAIJAN,3, -   , -   ,2,3,1,1, -   ,10
AUSTRIA,1,1,3,2,1, -   ,2, -   ,10
CYPRUS, -   ,2,1, -   ,5, -   ,1, -   ,9
PARAGUAY,1, -   ,1, -   ,3,1,2,1,9
CONGO (KINSHASA), -   , -   ,1,1,5,1, -   ,1,9
QATAR, -   , -   ,2,3,1,1,1,1,9
NORWAY, -   , -   ,3,1,4,1, -   , -   ,9
BELIZE, -   , -   , -   ,1,2,2,2,1,8
SAINT LUCIA, -   , -   , -   , -   ,1,6,1, -   ,8
GUYANA, -   ,1,2, -   ,2,3, -   , -   ,8
LATVIA,1, -   ,3,1,1,1, -   , -   ,7
CÔTE D'IVOIRE,1, -   , -   ,4,2, -   , -   , -   ,7
BARBADOS,1,2, -   ,1, -   ,2,1, -   ,7
DOMINICA,1,1,1, -   , -   ,1,1,2,7
NICARAGUA,1, -   ,1,1,1, -   , -   ,3,7
MACAU, -   , -   , -   ,1,2, -   ,3, -   ,6
CONGO (BRAZZAVILLE), -   ,1, -   , -   ,1,2, -   ,2,6
ANGOLA, -   , -   ,1,1,3,1, -   , -   ,6
FRENCH POLYNESIA, -   , -   , -   ,1, -   ,3,2, -   ,6
"GAMBIA, THE", -   , -   , -   ,1,2,2, -   ,1,6
