Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2017 To-Date,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3
,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,,"2,119,237","1,712,312","136,563","4,552,542","2,226,310","1,790,506","149,755","4,855,354","2,263,586","1,619,863","155,575","5,473,654",,,,,"6,609,133","5,122,681"
,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,
,I-129F,Fiancée Petitions,"12,837","10,179","2,150","15,746","13,194","6,864","2,681","20,082","12,313","9,903","2,475","20,783",,,,,"38,344","26,946"
,I-130,Immediate and Preference Relatives,"259,793","134,607","13,657","1,061,559","234,844","133,991","13,675","1,159,323","216,862","134,409","14,256","1,235,660",,,,,"711,499","403,007"
,I-485,Family-Based Adjustments,"94,564","67,416","8,499","271,136","89,238","65,970","8,979","292,086","94,112","71,400","9,861","305,601",,,,,"277,914","204,786"
,I-600/600A,Orphan Petitions,729,619,89,441,847,655,94,505,739,640,84,472,,,,,"2,315","1,914"
,I-601A,Provisional Waivers,"18,134","15,455",946,"29,765","17,729","20,669",829,"26,373","15,285","17,481",857,"23,776",,,,,"51,148","53,605"
,I-751,Remove Conditions on Residence,"36,263","23,829","1,444","133,870","44,614","22,604","1,853","153,005","41,000","21,625","1,726","172,298",,,,,"121,877","68,058"
,I-800/800A,Convention Country Adoptions,"1,847","1,899",39,527,"1,989","1,861",47,629,"1,940","1,896",47,639,,,,,"5,776","5,656"
Employment Based,,,,,,,,,,,,,,,,,,,,
,I-129,Nonimmigrant Worker Petitions,"91,317","119,143","25,433","119,514","111,249","136,825","25,812","79,516","222,682","140,182","25,559","149,442",,,,,"425,248","396,150"
,I-140,Immigrant Petitions for Workers,"38,209","30,852","2,032","56,112","32,834","32,365","2,568","55,580","36,632","33,426","2,266","58,254",,,,,"107,675","96,643"
,I-485,Employment-Based Adjustments,"43,407","33,259","1,531","138,114","30,897","28,073","1,982","138,404","41,920","29,691","1,705","148,553",,,,,"116,224","91,023"
,I-526,Petitions by Entrepreneurs,"4,395","3,346",236,"23,250","1,731","2,816",199,"22,152","4,402","2,386",278,"24,621",,,,,"10,528","8,548"
