file_hash_sha256,sheet_index,sheet_name,max_row,max_column,detected_table_type,detection_confidence
99716ecc8f0964a9bb0833c116e1e6a84315d1060e197d61a95dfe2ac3e5923a,0,CSV,114,13,all_forms,0.8500
968bf4d450e5c24933268cdd543cb5ac3b4aa3efb2b93aa5b66772b830190de7,0,CSV,121,47,all_forms,0.8500
98e63031fdc3a8070e147baad286e90542ea25ff9fd6ead2ea52c0be6b8a3c16,0,CSV,121,13,all_forms,0.8500
28c8dd822a3bdfc97c6f4048d83c06c1cbab620e5b1988030c6b68ec577e616c,0,CSV,123,47,all_forms,0.8500
3e315a46d3af148756cf909b914102bf57c90f0a1e27b9ec35b789e192d6f2ee,0,CSV,119,13,all_forms,0.8500
c52e363c1271d928af41022cb20a811b499a86dd34eabc17d368991430e4664f,0,CSV,132,47,all_forms,0.8500
5f929d3a4a4bc997f333a9e7c7dcb010f3d4b6471d3a370b4b915647e862c114,0,CSV,128,13,all_forms,0.8500
07a18cd0469580d37cfb9973b3e88768236bbb68c6a495265e6dfea4bc834ee2,0,CSV,128,13,all_forms,0.8500
013fb477ecf225dfe2ae9fc74a642b024a33b3eb5c2c6815739f93c23e85a029,0,FY24Q1AllForms,125,47,all_forms,0.9500
ba48bbca842271992794fee07042a3a3487c21fa3fada7b362d90a574c689376,0,FY24Q2_All_Forms,125,47,all_forms,0.9500
fb4b58d819a45ad16fa4ba059208c6b7e136ae2bf425e113a4f5c9db6b5b242f,0,FY24Q3_All_Forms,125,47,all_forms,0.9500
eab3abf4aee05dc20003e51343599e01825d42051accd812c722a4c2a86338b8,0,FY24Q4_All_Forms,124,13,all_forms,0.9500
89efec7a8e6b59e51e17b2b70d9760f187a797e71bd01b87e02fefbc694802e1,0,FY25Q1 All-Forms,126,13,all_forms,0.9500
b404c16ce97bbb2438b9ee86c5858ac036994b56c09716a362275e3ef2900120,0,FY25Q2_All_Forms,129,13,all_forms,0.9500
9794e5eb56e2aec843c3dd1d100abe964ddb401add38d8fc265cee8c33e24a0c,0,FY25Q3_All_Forms,129,13,all_forms,0.9500
fd5b0f95c581576cb7321cb112bde041b11d1148ca48fda83468866e83a88a70,0,FY25Q4_All_Forms,128,13,all_forms,0.9500
c39b046bbf63a1e0cc20d4d85c84a0a616fc2514f88ec2731ed2287092eb6c92,0,RADP_Summary,35,17,fy_quarter_status,0.9500
c39b046bbf63a1e0cc20d4d85c84a0a616fc2514f88ec2731ed2287092eb6c92,1,Rec_State,71,14,fy_quarter_status,0.9500
c39b046bbf63a1e0cc20d4d85c84a0a616fc2514f88ec2731ed2287092eb6c92,2,Rec_COB,189,14,fy_quarter_status,0.9500
c39b046bbf63a1e0cc20d4d85c84a0a616fc2514f88ec2731ed2287092eb6c92,3,App_State,75,19,fy_quarter_status,0.9500
c39b046bbf63a1e0cc20d4d85c84a0a616fc2514f88ec2731ed2287092eb6c92,4,App_COB,192,14,fy_quarter_status,0.9500
655aac2cf83d0a4a0163b2bcfaab0f137dda87325272e93a149ef14286099023,0,CSV,35,21,fy_quarter_status,0.8500
59bfe30c97a8575ed7a54302854eaf279415c842e874aacb5e33724091a859b0,0,RADP Summary,35,17,fy_quarter_status,0.9500
59bfe30c97a8575ed7a54302854eaf279415c842e874aacb5e33724091a859b0,1,Rec-State,72,14,fy_quarter_status,0.9500
59bfe30c97a8575ed7a54302854eaf279415c842e874aacb5e33724091a859b0,2,Rec-COB,203,14,fy_quarter_status,0.9500
59bfe30c97a8575ed7a54302854eaf279415c842e874aacb5e33724091a859b0,3,App-State,75,19,fy_quarter_status,0.9500
59bfe30c97a8575ed7a54302854eaf279415c842e874aacb5e33724091a859b0,4,App-COB,197,14,fy_quarter_status,0.9500
01d56c110efea1b6c4595ea22f1696c9561d93a4173c58fc717f20766a6e48a7,0,CSV,58,13,preference_country,0.8500
