id,source_file_id,sheet_name,sheet_index,max_row,max_column,detected_table_type,detection_confidence,created_at
948,264,CSV,0,197,10,country_category,0.8500,2026-05-23 23:23:43.060658
949,265,CSV,0,191,10,country_category,0.8500,2026-05-23 23:23:43.060658
950,266,CSV,0,199,10,country_category,0.8500,2026-05-23 23:23:43.060658
951,267,CSV,0,35,17,fy_quarter_status,0.8500,2026-05-23 23:23:43.060658
952,268,CSV,0,198,10,country_category,0.8500,2026-05-23 23:23:43.060658
964,272,PDF Text,0,288,1,preference_country,0.7000,2026-05-23 23:23:43.060658
965,273,PDF Text,0,297,1,preference_country,0.7000,2026-05-23 23:23:43.060658
971,279,CSV,0,58,13,preference_country,0.8500,2026-05-23 23:23:43.060658
1020,288,CSV,0,79,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1021,289,CSV,0,76,21,all_forms,0.8500,2026-05-23 23:23:43.060658
1022,290,CSV,0,79,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1023,291,CSV,0,79,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1024,292,CSV,0,77,21,all_forms,0.8500,2026-05-23 23:23:43.060658
1025,293,CSV,0,81,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1026,294,CSV,0,81,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1027,295,CSV,0,79,21,all_forms,0.8500,2026-05-23 23:23:43.060658
1028,296,CSV,0,88,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1029,297,PDF Text,0,100,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1030,298,PDF Text,0,94,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1031,299,PDF Text,0,103,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1032,300,PDF Text,0,111,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1033,301,PDF Text,0,109,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1034,302,PDF Text,0,125,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1035,303,PDF Text,0,124,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1036,304,PDF Text,0,187,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1037,305,CSV,0,112,47,all_forms,0.8500,2026-05-23 23:23:43.060658
1038,306,CSV,0,114,13,all_forms,0.8500,2026-05-23 23:23:43.060658
1039,307,CSV,0,121,47,all_forms,0.8500,2026-05-23 23:23:43.060658
1040,308,CSV,0,121,13,all_forms,0.8500,2026-05-23 23:23:43.060658
1041,309,CSV,0,123,47,all_forms,0.8500,2026-05-23 23:23:43.060658
1042,310,CSV,0,119,13,all_forms,0.8500,2026-05-23 23:23:43.060658
1043,311,CSV,0,132,47,all_forms,0.8500,2026-05-23 23:23:43.060658
1044,312,CSV,0,128,13,all_forms,0.8500,2026-05-23 23:23:43.060658
1045,313,CSV,0,128,13,all_forms,0.8500,2026-05-23 23:23:43.060658
48,9,App-State,3,75,19,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
49,9,App-COB,4,197,14,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
488,104,CSV,0,58,13,preference_country,0.8500,2026-05-22 23:01:39.938661
