source_file_id,category_id,category_code,country_id,country_code,country_name,cohort_fiscal_year,cohort_quarter,snapshot_date,received,approved,denied,pending,approval_rate_received_basis,approval_rate_decided_basis,pending_share
54,7,E21,6,PHILIPPINES,Philippines,2013,,2021-09-30,0,1356,0,0,,1.00000000000000000000,
55,1,TOTAL,5,BRAZIL,Brazil,2017,,2022-03-31,2640,2323,295,22,0.87992424242424242424,0.88731856378915202445,0.00833333333333333333
54,13,OTHER_UNKNOWN,3,INDIA,India,2012,,2021-09-30,0,103,35,0,,0.74637681159420289855,
272,9,EB3,4,CHINA,China,2018,,2020-09-30,4457,4199,98,160,0.94211352927978460848,0.97719339073772399348,0.03589858649315683195
256,7,E21,7,VIETNAM,Vietnam,2022,3,2022-06-30,0,130,0,0,,1.00000000000000000000,
21,6,EB2,4,CHINA,China,2020,,2025-06-30,10912,10454,322,136,0.95802785923753665689,0.97011878247958426132,0.01246334310850439883
259,5,E13,4,CHINA,China,2022,4,2022-09-30,0,317,0,0,,1.00000000000000000000,
16,6,EB2,4,CHINA,China,2018,,2024-09-30,8261,7897,272,92,0.95593753782835007868,0.96670339086791528951,0.01113666626316426583
21,12,EW3,3,INDIA,India,2020,,2025-06-30,0,21,0,0,,1.00000000000000000000,
14,13,OTHER_UNKNOWN,32,INDIA_FY24,India_FY24,2019,,2024-06-30,0,0,0,0,,,
10,12,EW3,3,INDIA,India,2024,,2023-12-31,0,5,0,0,,1.00000000000000000000,
55,10,E31,3,INDIA,India,2017,,2022-03-31,0,4269,0,0,,1.00000000000000000000,
101,9,EB3,71,SOUTH_KOREA,South Korea,2013,,2022-12-31,616,561,55,0,0.91071428571428571429,0.91071428571428571429,0.00000000000000000000
58,11,E32,3,INDIA,India,2013,,2022-09-30,0,2126,0,0,,1.00000000000000000000,
172,2,EB1,1,ALL,All Countries,2018,,2019-09-30,28489,22799,4608,1082,0.80027378988381480571,0.83186777100740686686,0.03797957106251535680
14,4,E12,28,BRAZIL_FY24,Brazil_FY24,2018,,2024-06-30,0,31,0,0,,1.00000000000000000000,
2,1,TOTAL,6,PHILIPPINES,Philippines,2019,,2025-09-30,7909,6185,1653,71,0.78202048299405740296,0.78910436335799948967,0.00897711467947907447
54,5,E13,4,CHINA,China,2016,,2021-09-30,0,935,0,0,,1.00000000000000000000,
16,2,EB1,1,ALL,All Countries,2018,,2024-09-30,28480,23106,5255,119,0.81130617977528089888,0.81471034166637283594,0.00417837078651685393
12,1,TOTAL,28,BRAZIL_FY24,Brazil_FY24,2022,,2024-03-31,7179,5519,1573,87,0.76877002368017829781,0.77820078962210941906,0.01211867948182198078
259,11,E32,78,MEXICO,Mexico,2022,4,2022-09-30,0,769,0,0,,1.00000000000000000000,
1555,4,E12,3,INDIA,India,2024,,2025-12-31,0,1573,0,0,,1.00000000000000000000,
263,8,NIW,78,MEXICO,Mexico,2023,1,2022-12-31,139,0,0,0,0.00000000000000000000,,0.00000000000000000000
58,5,E13,1,ALL,All Countries,2013,,2022-09-30,0,11224,0,0,,1.00000000000000000000,
54,2,EB1,6,PHILIPPINES,Philippines,2019,,2021-09-30,107,92,15,0,0.85981308411214953271,0.85981308411214953271,0.00000000000000000000
101,13,OTHER_UNKNOWN,78,MEXICO,Mexico,2017,,2022-12-31,0,0,0,0,,,
10,2,EB1,4,CHINA,China,2023,,2023-12-31,9382,6465,1341,1576,0.68908548283947985504,0.82820906994619523444,0.16798124067363035600
2,1,TOTAL,4,CHINA,China,2021,,2025-09-30,24704,23124,1429,151,0.93604274611398963731,0.94179937278540300574,0.00611237046632124352
